country,year,pop_value,life_expectancy_value,happiness_score_value,gni_value,internet_users_value
Thailand,2020,71500000,78.5,58.9,18700,77.8
Vietnam,2020,96600000,74.5,54.6,11100,70.3
Costa Rica,2021,5150000,80.5,64.1,22300,82.7
Germany,2021,83400000,81.5,67.5,63800,91.4
Spain,2021,47500000,83.3,64.7,44100,93.9
Estonia,2021,1330000,78.3,65.5,43100,91.0
Georgia,2021,3760000,73.7,49.1,17700,76.4
Indonesia,2021,274000000,71.8,54.3,12400,62.1
Malta,2021,527000,82.9,64.4,49700,87.5
New Zealand,2021,5130000,82.1,71.4,46700,95.7
Portugal,2021,10300000,82.1,61.8,38200,82.3
Thailand,2021,71600000,78.8,56.4,19500,85.3
Vietnam,2021,97500000,74.7,55.4,11400,74.2
Costa Rica,2022,5180000,80.6,70.8,24100,82.6
Germany,2022,83400000,81.7,66.1,68800,91.6
Spain,2022,47600000,83.5,63.4,49700,94.5
Estonia,2022,1330000,78.5,63.6,46000,91.5
Georgia,2022,3740000,73.8,52.9,20900,78.7
Indonesia,2022,276000000,71.9,55.9,13900,66.5
Malta,2022,533000,83.0,63.0,51900,91.5
New Zealand,2022,5190000,82.2,69.8,51500,95.7
Portugal,2022,10300000,82.2,59.5,43600,84.5
Thailand,2022,71700000,79.0,60.1,21600,88.0
Vietnam,2022,98200000,74.8,62.7,13200,78.6
Costa Rica,2023,5210000,80.8,73.8,26200,85.1
Germany,2023,83300000,81.8,67.9,70700,92.5
Spain,2023,47500000,83.6,64.6,52700,95.4
Estonia,2023,1320000,78.6,64.3,45300,93.2
Georgia,2023,3730000,74.0,53.5,23100,81.9
Indonesia,2023,278000000,72.1,57.0,15000,69.2
Malta,2023,535000,83.2,63.0,54800,91.9
Portugal,2023,10200000,82.4,59.5,46000,85.8
Thailand,2023,71800000,79.1,62.8,22900,89.5
Vietnam,2023,98900000,74.9,63.3,14200,78.1
